  iter           grad(x_k)         value                  vector
S = [ -200.000 + -200.000i ]-----------------------------------------------------------------------------------------
--------------------------------------------------------
  300               0.0499               0.0499     | 0.2234
  350               0.0302               0.0302     | 0.1739
  400               0.0183               0.0183     | 0.1353
  450               0.0111               0.0111     | 0.1053
  500               0.0067               0.0067     | 0.0820
  550               0.0041               0.0041     | 0.0638
  600               0.0025               0.0025     | 0.0497
  650               0.0015               0.0015     | 0.0387
  700               0.0009               0.0009     | 0.0301
  750               0.0005               0.0005     | 0.0234
  800               0.0003               0.0003     | 0.0182
  850               0.0002               0.0002     | 0.0142
  900               0.0001               0.0001     | 0.0111
  950               0.0001               0.0001     | 0.0086
 1000               0.0000               0.0000     | 0.0067
 1100               0.0000               0.0000     | 0.0041
 1200               0.0000               0.0000     | 0.0025
 1300               0.0000               0.0000     | 0.0016
 1380               0.0000               0.0000     | 0.0012
 e_min =     0.0024
